totalPitchingCount,B,S,O,b1,b2,b3,pitcher,pitcherHand,batter,batterHand,pitchType,speed,ballX,ballY,y,inning_number,inning_tb,batter_isPitcher,ballWidthLabel,ballHeightLabel,pitch_category,bottomTeam,topTeam,place,minute,hour,day,month,year,day_of_week,day_of_year,pitcher_order,batter_order
1,0,0,0,False,False,False,今永 昇太,1,ピレラ,0,ストレート,149.0,17,9,0,1,0,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,1
2,1,0,0,False,False,False,今永 昇太,1,ピレラ,0,ストレート,149.0,14,8,0,1,0,0,1,0,0,7,4,10,0,18,19,6,2020,4,171,1,1
3,1,1,0,False,False,False,今永 昇太,1,ピレラ,0,チェンジアップ,137.0,8,3,0,1,0,0,3,2,2,7,4,10,0,18,19,6,2020,4,171,1,1
4,2,1,0,False,False,False,今永 昇太,1,ピレラ,0,スライダー,138.0,21,6,0,1,0,0,1,1,1,7,4,10,0,18,19,6,2020,4,171,1,1
5,2,2,0,False,False,False,今永 昇太,1,ピレラ,0,チェンジアップ,136.0,7,5,1,1,0,0,3,1,2,7,4,10,0,18,19,6,2020,4,171,1,1
1,0,0,0,True,False,False,今永 昇太,1,菊池 涼介,0,ストレート,148.0,11,7,0,1,0,0,2,0,0,7,4,10,0,18,19,6,2020,4,171,1,2
2,0,1,0,True,False,False,今永 昇太,1,菊池 涼介,0,ストレート,148.0,3,1,0,1,0,0,3,2,0,7,4,10,0,18,19,6,2020,4,171,1,2
1,0,0,1,True,False,False,今永 昇太,1,西川 龍馬,1,ストレート,150.0,8,4,0,1,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
2,0,1,1,True,False,False,今永 昇太,1,西川 龍馬,1,スライダー,136.0,13,5,0,1,0,0,2,1,1,7,4,10,0,18,19,6,2020,4,171,1,3
3,0,2,1,True,False,False,今永 昇太,1,西川 龍馬,1,ストレート,149.0,1,4,0,1,0,0,1,1,0,7,4,10,0,18,19,6,2020,4,171,1,3
