id,totalPitchingCount,B,S,O,b1,b2,b3,pitcher,pitcherHand,batter,batterHand,gameID,inning,pitchType,speed,ballPositionLabel,ballX,ballY,dir,dist,battingType,isOuts,y
0,1,0,0,0,False,False,False,今永 昇太,L,ピレラ,R,20202173,1回表,ストレート,149km/h,内角低め,17,J,,,,,0
1,2,1,0,0,False,False,False,今永 昇太,L,ピレラ,R,20202173,1回表,ストレート,149km/h,内角低め,14,I,,,,,1
2,3,1,1,0,False,False,False,今永 昇太,L,ピレラ,R,20202173,1回表,チェンジアップ,137km/h,外角高め,8,D,,,,,0
3,4,2,1,0,False,False,False,今永 昇太,L,ピレラ,R,20202173,1回表,スライダー,138km/h,内角中心,21,G,,,,,2
4,5,2,2,0,False,False,False,今永 昇太,L,ピレラ,R,20202173,1回表,チェンジアップ,136km/h,外角中心,7,F,S,38.3,G,False,4
5,1,0,0,0,True,False,False,今永 昇太,L,菊池 涼介,R,20202173,1回表,ストレート,148km/h,真ん中低め,11,H,,,,,2
6,2,0,1,0,True,False,False,今永 昇太,L,菊池 涼介,R,20202173,1回表,ストレート,148km/h,外角高め,3,B,O,11.3,B,True,3
7,1,0,0,1,True,False,False,今永 昇太,L,西川 龍馬,L,20202173,1回表,ストレート,150km/h,内角中心,8,E,,,,,1
8,2,0,1,1,True,False,False,今永 昇太,L,西川 龍馬,L,20202173,1回表,スライダー,136km/h,ど真ん中,13,F,,,,,2
9,3,0,2,1,True,False,False,今永 昇太,L,西川 龍馬,L,20202173,1回表,ストレート,149km/h,内角中心,1,E,,,,,0
10,4,1,2,1,True,False,False,今永 昇太,L,西川 龍馬,L,20202173,1回表,ストレート,150km/h,外角低め,20,H,,,,,0
11,5,2,2,1,True,False,False,今永 昇太,L,西川 龍馬,L,20202173,1回表,ストレート,150km/h,外角高め,17,D,,,,,2
12,6,2,2,1,True,False,False,今永 昇太,L,西川 龍馬,L,20202173,1回表,スライダー,136km/h,外角中心,15,F,P,40.8,G,True,3
13,1,0,0,2,True,False,False,今永 昇太,L,鈴木 誠也,R,20202173,1回表,カーブ,122km/h,ど真ん中,13,F,,,,,2
14,2,0,1,2,True,False,False,今永 昇太,L,鈴木 誠也,R,20202173,1回表,チェンジアップ,138km/h,外角低め,4,K,,,,,0
15,3,1,1,2,True,False,False,今永 昇太,L,鈴木 誠也,R,20202173,1回表,スライダー,137km/h,真ん中高め,9,B,,,,,0
16,4,2,1,2,True,False,False,今永 昇太,L,鈴木 誠也,R,20202173,1回表,ストレート,150km/h,内角低め,14,H,,,,,1
17,5,2,2,2,True,False,False,今永 昇太,L,鈴木 誠也,R,20202173,1回表,チェンジアップ,138km/h,外角低め,1,I,,0.0,,True,1
18,1,0,0,0,False,False,False,大瀬良 大地,R,梶谷 隆幸,L,20202173,1回裏,シュート,138km/h,真ん中低め,12,I,S,92.1,F,True,3
19,1,0,0,1,False,False,False,大瀬良 大地,R,乙坂 智,L,20202173,1回裏,ストレート,145km/h,外角低め,16,K,R,41.9,G,True,3
20,1,0,0,2,False,False,False,大瀬良 大地,R,ソト,R,20202173,1回裏,ストレート,145km/h,外角中心,1,G,,,,,0
21,2,1,0,2,False,False,False,大瀬良 大地,R,ソト,R,20202173,1回裏,カーブ,116km/h,外角低め,7,K,,,,,0
22,3,2,0,2,False,False,False,大瀬良 大地,R,ソト,R,20202173,1回裏,カットファストボール,139km/h,内角高め,20,D,,,,,0
23,4,3,0,2,False,False,False,大瀬良 大地,R,ソト,R,20202173,1回裏,ストレート,146km/h,内角中心,15,F,,,,,1
24,5,3,1,2,False,False,False,大瀬良 大地,R,ソト,R,20202173,1回裏,カットファストボール,136km/h,外角中心,6,G,J,106.9,F,True,3
25,1,0,0,0,False,False,False,今永 昇太,L,メヒア,R,20202173,2回表,スライダー,142km/h,内角低め,21,H,,,,,1
26,2,0,1,0,False,False,False,今永 昇太,L,メヒア,R,20202173,2回表,ストレート,149km/h,内角中心,19,E,G,43.4,G,False,4
27,1,0,0,0,True,False,False,今永 昇太,L,會澤 翼,R,20202173,2回表,スライダー,130km/h,真ん中高め,12,D,,,,,1
28,2,0,1,0,True,False,False,今永 昇太,L,會澤 翼,R,20202173,2回表,チェンジアップ,137km/h,外角低め,7,K,,,,,0
29,3,1,1,0,True,False,False,今永 昇太,L,會澤 翼,R,20202173,2回表,チェンジアップ,136km/h,外角中心,1,E,,,,,0
30,4,2,1,0,True,False,False,今永 昇太,L,會澤 翼,R,20202173,2回表,スライダー,136km/h,内角中心,18,F,,,,,0
31,5,3,1,0,True,False,False,今永 昇太,L,會澤 翼,R,20202173,2回表,スライダー,138km/h,外角中心,3,E,,,,,1
32,6,3,2,0,True,False,False,今永 昇太,L,會澤 翼,R,20202173,2回表,ストレート,149km/h,内角中心,19,E,,,,,2
33,7,3,2,0,True,False,False,今永 昇太,L,會澤 翼,R,20202173,2回表,ストレート,148km/h,ど真ん中,10,F,,0.0,,True,1
34,1,0,0,1,False,True,False,今永 昇太,L,堂林 翔太,R,20202173,2回表,スライダー,139km/h,外角中心,1,E,,,,,0
35,2,1,0,1,False,True,False,今永 昇太,L,堂林 翔太,R,20202173,2回表,チェンジアップ,135km/h,外角中心,6,F,,,,,2
36,3,1,1,1,False,True,False,今永 昇太,L,堂林 翔太,R,20202173,2回表,ストレート,149km/h,ど真ん中,10,F,,,,,1
37,4,1,2,1,False,True,False,今永 昇太,L,堂林 翔太,R,20202173,2回表,ストレート,149km/h,内角中心,19,E,,,,,2
38,5,1,2,1,False,True,False,今永 昇太,L,堂林 翔太,R,20202173,2回表,スライダー,138km/h,内角中心,20,G,,,,,0
39,6,2,2,1,False,True,False,今永 昇太,L,堂林 翔太,R,20202173,2回表,ストレート,150km/h,内角中心,18,G,,,,,2
40,7,2,2,1,False,True,False,今永 昇太,L,堂林 翔太,R,20202173,2回表,チェンジアップ,137km/h,外角中心,7,F,E,27.1,G,True,3
41,1,0,0,2,False,True,False,今永 昇太,L,田中 広輔,L,20202173,2回表,スライダー,141km/h,外角低め,21,J,,,,,0
42,2,1,0,2,False,True,False,今永 昇太,L,田中 広輔,L,20202173,2回表,スライダー,129km/h,真ん中高め,13,C,,,,,1
43,3,1,1,2,False,True,False,今永 昇太,L,田中 広輔,L,20202173,2回表,スライダー,136km/h,外角中心,14,F,,,,,1
44,4,1,2,2,False,True,False,今永 昇太,L,田中 広輔,L,20202173,2回表,スライダー,139km/h,外角低め,21,J,,0.0,,True,1
45,1,0,0,0,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,2回裏,カットファストボール,135km/h,外角低め,20,K,,,,,0
46,2,1,0,0,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,2回裏,スライダー,125km/h,真ん中低め,11,K,,,,,2
47,3,1,1,0,False,False,False,大瀬良 大地,R,佐野 恵太,L,20202173,2回裏,フォーク,133km/h,外角中心,21,G,W,24.7,G,True,3
48,1,0,0,1,False,False,False,大瀬良 大地,R,ロペス,R,20202173,2回裏,カーブ,114km/h,外角低め,1,K,,,,,0
49,2,1,0,1,False,False,False,大瀬良 大地,R,ロペス,R,20202173,2回裏,スライダー,126km/h,真ん中低め,11,H,C,117.0,F,False,7
50,1,0,0,1,False,False,False,大瀬良 大地,R,宮崎 敏郎,R,20202173,2回裏,ストレート,143km/h,内角中心,21,E,,,,,0
51,2,1,0,1,False,False,False,大瀬良 大地,R,宮崎 敏郎,R,20202173,2回裏,シュート,136km/h,内角中心,21,F,,,,,0
52,3,2,0,1,False,False,False,大瀬良 大地,R,宮崎 敏郎,R,20202173,2回裏,ストレート,145km/h,内角中心,18,E,S,38.3,G,True,3
53,1,0,0,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,2回裏,シュート,139km/h,内角低め,20,K,,,,,0
54,2,1,0,2,False,False,False,大瀬良 大地,R,伊藤 光,R,20202173,2回裏,ストレート,144km/h,真ん中低め,9,H,I,36.5,G,True,3
55,1,0,0,0,False,False,False,今永 昇太,L,大瀬良 大地,R,20202173,3回表,ストレート,146km/h,内角中心,20,F,,,,,1
56,2,0,1,0,False,False,False,今永 昇太,L,大瀬良 大地,R,20202173,3回表,カーブ,122km/h,真ん中低め,13,K,,,,,0
57,3,1,1,0,False,False,False,今永 昇太,L,大瀬良 大地,R,20202173,3回表,ストレート,147km/h,外角中心,6,F,K,33.5,G,True,3
58,1,0,0,1,False,False,False,今永 昇太,L,ピレラ,R,20202173,3回表,ストレート,148km/h,ど真ん中,10,E,,,,,0
